"","time1","score1","interv1"
"1",1,21.3627710770071,"0"
"2",2,9.25919430077075,"0"
"3",3,18.4459095712006,"0"
"4",4,29.3734066879004,"0"
"5",5,41.389957420975,"0"
"6",6,43.0406811914593,"0"
"7",7,32.374165263772,"0"
"8",8,44.2207267932594,"0"
"9",9,49.6717599377036,"0"
"10",10,58.9565237277001,"0"
"11",11,63.0541161384434,"1"
"12",12,58.507523772046,"1"
"13",13,64.7562341596186,"1"
"14",14,86.3010482420772,"1"
"15",15,88.5062544052303,"1"
"16",16,82.1279986702651,"1"
"17",17,96.2627542714029,"1"
"18",18,105.941674487367,"1"
"19",19,109.48428886652,"1"
"20",20,111.524102712348,"1"
