"","time4","score4","interv4"
"1",1,51.435576774925,"0"
"2",2,51.7488004166633,"0"
"3",3,50.1332684289664,"0"
"4",4,54.3003390129656,"0"
"5",5,55.6892058771104,"0"
"6",6,56.1950724489987,"0"
"7",7,54.6756246995181,"0"
"8",8,56.5829676579684,"0"
"9",9,57.8967910032719,"0"
"10",10,58.1899456910789,"0"
"11",11,81.8474166363478,"1"
"12",12,84.1638391237706,"1"
"13",13,92.0760157518089,"1"
"14",14,93.52041875422,"1"
"15",15,100.936826105043,"1"
"16",16,103.31191239953,"1"
"17",17,109.199838441238,"1"
"18",18,115.973475077003,"1"
"19",19,120.746286254749,"1"
"20",20,126.110947761685,"1"
